노선번호,정류장명
20-1,대화역
20-1,고양종합운동장.일산서구청
20-1,일산서부경찰서
20-1,성저리
20-1,송산3통
20-1,고양예고입구
20-1,송포백송
20-1,만자고개
20-1,중앙하이츠아파트
20-1,덕이동문아파트
20-1,삽다리사거리
20-1,동패9통
20-1,가재울
20-1,산남입구
20-1,동패9통
20-1,동패동.안골
20-1,동패10통
20-1,동패11통입구
20-1,심학초교
20-1,서패동
20-1,문발동.아랫말
20-1,문발동
20-1,문발초교
20-1,문발동(한성타워앞)
20-1,문발동.진골
20-1,교하맛골
20-1,문발동.가운데말
20-1,파주파비뇽아울렛
20-1,문발동.가운데말
20-1,교하맛골
20-1,문발공단
20-1,연다산32통
20-1,다율4통
20-1,다율동
20-1,다락골
20-1,오도삼거리
20-1,오도리
20-1,오도1리
20-1,신성교하차고지
2000,구래리차고지
2000,금성백조예미지
2000,김포한강3차푸르지오
2000,나비마을삼거리
2000,LH한가람마을2단지
2000,우미린아파트후문
2000,한가람마을우미린.호수이편한세상
2000,구래역
2000,화성파크드림.솔터마을입구
2000,힐스테이트.경남아너스빌
2000,마산역
2000,김포생활체육관
2000,뉴고려병원
2000,타운하우스
2000,우미린.반도유보라아파트
2000,장기고등학교
2000,중흥s클래스.우남퍼스트빌
2000,한강센트럴자이
2000,자이타워
2000,롯데마트.래미안한강아파트
2000,캐널시티
2000,수정마을.쌍용예가
2000,전원마을1단지.김포한강롯데캐슬
2000,전원마을3단지.KCC스위첸
2000,화성파크드림.KCC스위첸
2000,한옥마을.아트빌리지.문화원
2000,샘재마을
2000,향교마을
2000,걸포동
2000,일산대교TG(미정차)
2000,자유로출입(미정차)
2000,대화마을입구삼거리
2000,한국건설기술연구원.킨텍스
2000,대화중학교.종합운동장
2000,대화역
2000,백병원(중)
2000,문촌마을(중)
2000,주엽역(중)
2000,강선마을(중)
2000,일산동부경찰서(중)
2000,일산동구청(중)
2000,마두역(중)
2000,호수마을(중)
2000,알미공원.일산동구보건소(중)
2000,백석동.요진와이시티(중)
2000,대곡역(중)
2000,토당육교(미정차)
2000,고양경찰서.토당청소년수련관(중)
2000,샘터마을2단지
2000,샘터마을1단지.무원고등학교
2000,무원마을1단지.소만초교
2000,삼보마트
2000,행신역
2000,행신2동행정복지센터
2000,무원마을2.3단지
2000,소만마을7단지.삼보마트
2000,샘터마을1단지.무원고등학교
2000,행신초등학교.더자인병원(중)
2000,고양경찰서.토당청소년수련관(중)
2000,토당육교(미정차)
2000,대곡역(중)
2000,백석동.요진와이시티(중)
2000,안산공원.일산동구보건소(중)
2000,흰돌마을(중)
2000,마두역(중)
2000,일산동구청(중)
2000,일산동부경찰서(중)
2000,강선마을(중)
2000,주엽역(중)
2000,문촌마을(중)
2000,백병원(중)
2000,대화역
2000,대화중학교.종합운동장
2000,한국건설기술연구원.킨텍스
2000,대화마을입구삼거리
2000,자유로진입(미정차)
2000,일산대교TG(미정차)
2000,걸포동
2000,향교마을
2000,샘재마을
2000,한옥마을.아트빌리지.문화원
2000,화성파크드림.KCC스위첸
2000,전원마을3단지.KCC스위첸
2000,전원마을1단지.김포한강롯데캐슬
2000,수정마을.휴먼시아
2000,캐널시티
2000,래미안한강아파트
2000,자이타워
2000,한강센트럴자이
2000,중흥s클래스.우남퍼스트빌
2000,장기고등학교
2000,반도유보라.우미린아파트
2000,고창마을.반도유보라후문
2000,뉴고려병원.이니스더원
2000,김포생활체육관
2000,마산역
2000,힐스테이트.경남아너스빌
2000,솔터마을입구.화성파크드림
2000,구래역
2000,호수마을이편한세상.한가람우미린
2000,LH한가람마을2단지
2000,김포한강3차푸르지오
2000,금성백조예미지
2000,구래리차고지
22,장냇말앞
22,목장앞
22,장골부대앞
22,부곡1리마을회관
22,송추반석전원교회
